,SRC_ADD,DES_ADD,PKT_ID,FROM_NODE,TO_NODE,PKT_TYPE,PKT_SIZE,FLAGS,FID,SEQ_NUMBER,NUMBER_OF_PKT,NUMBER_OF_BYTE,NODE_NAME_FROM,NODE_NAME_TO,PKT_IN,PKT_OUT,PKT_R,PKT_DELAY_NODE,PKT_RATE,BYTE_RATE,PKT_AVG_SIZE,UTILIZATION,PKT_DELAY,PKT_SEND_TIME,PKT_RESEVED_TIME,FIRST_PKT_SENT,LAST_PKT_RESEVED,PKT_CLASS
0,3.0,24.3,389693.0,21.0,23.0,tcp,1540.0,-------,4.0,11339.0,16091.0,24780100.0,Switch1,Router,35.529786,35.529786,35.539909,0.0,328.240918,505490.0,1540.0,0.236321,0.0,35.519662,35.550032,1.0,50.02192,Normal
1,15.0,24.15,201196.0,23.0,24.0,tcp,1540.0,-------,16.0,6274.0,16092.0,24781700.0,Router,server1,20.176725,20.176725,20.186848,0.0,328.205808,505437.0,1540.0,0.236337,0.0,20.156478,20.186848,1.0,50.030211,Normal
2,24.15,15.0,61905.0,23.0,22.0,ack,55.0,-------,16.0,1930.0,16092.0,885060.0,Router,Switch2,7.049955,7.049955,7.059958,0.0,328.206042,18051.3,55.0,0.008441,0.0,7.039952,7.069962,1.030045,50.060221,UDP-Flood
3,24.9,9.0,443135.0,23.0,21.0,ack,55.0,-------,10.0,12670.0,16085.0,884675.0,Router,Switch1,39.62797,39.62797,39.637973,0.0,328.064183,18043.5,55.0,0.008437,0.0,39.617967,39.647976,1.030058,50.060098,Normal
4,24.8,8.0,157335.0,23.0,21.0,ack,55.0,-------,9.0,4901.0,16088.0,884840.0,Router,Switch1,16.039806,16.039806,16.04981,0.0,328.113525,18046.2,55.0,0.008438,0.0,16.029803,16.059813,1.030054,50.061864,Normal
5,24.1,1.0,219350.0,21.0,1.0,ack,55.0,-------,2.0,6837.0,16091.0,885005.0,Switch1,clien-1,21.885768,21.885768,21.895771,0.0,328.297902,18056.4,55.0,0.00844,0.0,21.865762,21.895771,1.030016,50.043427,Normal
6,24.13,13.0,480053.0,24.0,23.0,ack,55.0,-------,14.0,13609.0,16103.0,885665.0,server1,Router,42.45032,42.45032,42.460323,0.0,328.460278,18065.3,55.0,0.008446,0.0,42.45032,42.48033,1.030032,50.055747,Normal
7,2.1,24.22,599411.0,23.0,24.0,cbr,1000.0,-------,23.0,4156.0,6250.0,6250000.0,Router,server1,58.26832,58.26848,58.27856,0.00016,124.943625,124944.0,1000.0,0.059605,0.00032,58.248,58.27856,25.0,75.02256,Normal
8,24.2,2.0,551227.0,24.0,23.0,ack,55.0,-------,3.0,15392.0,16091.0,885005.0,server1,Router,47.910078,47.910078,47.920081,0.0,328.26412,18054.5,55.0,0.00844,0.0,47.910078,47.940088,1.030022,50.048477,Normal
9,2.0,24.2,399941.0,21.0,23.0,tcp,1540.0,-------,3.0,11595.0,16091.0,24780100.0,Switch1,Router,36.314926,36.31548,36.325603,0.000554,328.26404,505526.0,1540.0,0.236321,0.001724,36.304803,36.336896,1.0,50.018467,Normal
10,9.2,24.51,33450.0,23.0,24.0,cbr,1500.0,-------,30.0,1279.0,9108.0,13662000.0,router,server1,32.180177,32.181257,32.191377,0.00108,1016.496869,1524750.0,1500.0,0.130291,0.03252,32.158857,32.191377,1.0,9.960185,UDP-Flood
11,24.11,11.0,356924.0,23.0,22.0,ack,55.0,-------,12.0,10505.0,16103.0,885665.0,Router,Switch2,33.015317,33.015317,33.02532,0.0,328.522947,18068.8,55.0,0.008446,0.0,33.005314,33.035323,1.030019,50.046382,Normal
12,24.5,5.0,349309.0,21.0,5.0,ack,55.0,-------,6.0,10306.0,16091.0,885005.0,Switch1,clien-5,32.442133,32.442133,32.452136,0.0,328.204851,18051.3,55.0,0.00844,0.0,32.422126,32.452136,1.030042,50.057349,Normal
13,6.1,24.26,629078.0,23.0,24.0,cbr,1000.0,-------,27.0,5629.0,6250.0,6250000.0,Router,server1,70.05264,70.05312,70.0632,0.00048,124.942027,124942.0,1000.0,0.059605,0.00096,70.032,70.0632,25.0,75.0232,Normal
14,24.5,5.0,565692.0,21.0,5.0,ack,55.0,-------,6.0,15761.0,16091.0,885005.0,Switch1,clien-5,49.037576,49.037576,49.047579,0.0,328.204851,18051.3,55.0,0.00844,0.0,49.01757,49.047579,1.030042,50.057349,Normal
15,24.1,1.0,478904.0,21.0,1.0,ack,55.0,-------,2.0,13574.0,16091.0,885005.0,Switch1,clien-1,42.382176,42.382176,42.392179,0.0,328.297902,18056.4,55.0,0.00844,0.0,42.36217,42.392179,1.030016,50.043427,Normal
16,24.7,7.0,518117.0,21.0,7.0,ack,55.0,-------,8.0,14561.0,16090.0,884950.0,Switch1,clien-7,45.38957,45.38957,45.399573,0.0,328.167767,18049.2,55.0,0.00844,0.0,45.369563,45.399573,1.030051,50.059851,Normal
17,24.6,6.0,13859.0,23.0,21.0,ack,55.0,-------,7.0,423.0,16091.0,885005.0,Router,Switch1,2.524349,2.524349,2.534352,0.0,328.19309,18050.6,55.0,0.00844,0.0,2.514346,2.544355,1.030048,50.059112,Smurf
18,4.0,24.4,140886.0,4.0,21.0,tcp,1540.0,-------,5.0,4393.0,16091.0,24780100.0,clien-4,Switch1,14.477384,14.477384,14.487507,0.0,328.217832,505455.0,1540.0,0.236321,0.0,14.477384,14.507754,1.0,50.025368,Normal
19,2.0,24.16,46094.0,2.0,21.0,ping,65535.0,-------,0.0,-1.0,210.0,13762400.0,client-2,switch1,44.0,44.0,44.015243,0.0,23.188498,1519660.0,65535.2,0.131248,0.056214,44.0,44.056214,0.0,9.056214,Smurf
20,24.11,11.0,337499.0,22.0,11.0,ack,55.0,-------,12.0,10014.0,16103.0,885665.0,Switch2,clien-11,31.533911,31.533911,31.543914,0.0,328.522947,18068.8,55.0,0.008446,0.0,31.513905,31.543914,1.030019,50.046382,Normal
21,24.15,15.0,264811.0,22.0,15.0,ack,55.0,-------,16.0,8176.0,16092.0,885060.0,Switch2,clien-15,25.957029,25.957029,25.967032,0.0,328.206042,18051.3,55.0,0.008441,0.0,25.937022,25.967032,1.030045,50.060221,Normal
22,24.13,13.0,201476.0,22.0,13.0,ack,55.0,-------,14.0,6278.0,16103.0,885665.0,Switch2,clien-13,20.20168,20.20168,20.211683,0.0,328.460278,18065.3,55.0,0.008446,0.0,20.181674,20.211683,1.030032,50.055747,Normal
23,24.3,3.0,395290.0,21.0,3.0,ack,55.0,-------,4.0,11465.0,16091.0,885005.0,Switch1,clien-3,35.968766,35.968766,35.97877,0.0,328.241051,18053.3,55.0,0.00844,0.0,35.94876,35.97877,1.030029,50.051929,Normal
24,14.0,24.14,186408.0,22.0,23.0,tcp,1540.0,-------,15.0,5812.0,16103.0,24798600.0,Switch2,Router,18.77443,18.77443,18.784554,0.0,328.431807,505785.0,1540.0,0.236498,0.0,18.764307,18.794677,1.0,50.029965,UDP-Flood
25,24.12,12.0,572358.0,23.0,22.0,ack,55.0,-------,13.0,15933.0,16103.0,885665.0,Router,Switch2,49.53893,49.53893,49.548933,0.0,328.491596,18067.0,55.0,0.008446,0.0,49.528927,49.558936,1.030026,50.051067,Normal
26,24.11,11.0,241339.0,24.0,23.0,ack,55.0,-------,12.0,7526.0,16103.0,885665.0,server1,Router,23.936642,23.936642,23.946645,0.0,328.522947,18068.8,55.0,0.008446,0.0,23.936642,23.966651,1.030019,50.046382,Normal
27,24.7,7.0,165643.0,21.0,7.0,ack,55.0,-------,8.0,5157.0,16090.0,884950.0,Switch1,clien-7,16.83141,16.83141,16.841413,0.0,328.167767,18049.2,55.0,0.00844,0.0,16.811403,16.841413,1.030051,50.059851,Normal
28,24.2,2.0,374184.0,24.0,23.0,ack,55.0,-------,3.0,10939.0,16091.0,885005.0,server1,Router,34.329077,34.329077,34.339081,0.0,328.26412,18054.5,55.0,0.00844,0.0,34.329077,34.359087,1.030022,50.048477,Normal
29,9.1,24.29,641250.0,21.0,23.0,cbr,1000.0,-------,30.0,6233.0,6250.0,6250000.0,Switch1,Router,74.87408,74.8748,74.88488,0.00072,124.940828,124941.0,1000.0,0.059605,0.00144,74.864,74.89568,25.0,75.02368,Normal
30,9.0,24.9,452679.0,23.0,24.0,tcp,1540.0,-------,10.0,12912.0,16085.0,24770900.0,Router,server1,40.3718,40.3718,40.381923,0.0,328.063862,505218.0,1540.0,0.236234,0.0,40.351554,40.381923,1.0,50.030088,Normal
31,24.5,5.0,471180.0,21.0,5.0,ack,55.0,-------,6.0,13375.0,16091.0,885005.0,Switch1,clien-5,41.789362,41.789362,41.799365,0.0,328.204851,18051.3,55.0,0.00844,0.0,41.769355,41.799365,1.030042,50.057349,Normal
32,24.9,9.0,142775.0,23.0,21.0,ack,55.0,-------,10.0,4445.0,16085.0,884675.0,Router,Switch1,14.664929,14.664929,14.674932,0.0,328.064183,18043.5,55.0,0.008437,0.0,14.654926,14.684936,1.030058,50.060098,Normal
33,2.2,24.44,13387.0,23.0,24.0,cbr,1192.0,-------,23.0,489.0,8655.0,10316800.0,router,server1,13.478747,13.479731,13.489827,0.000984,962.684973,1147520.0,1192.0,0.098389,0.032256,13.457571,13.489827,1.0,9.99048,UDP-Flood
34,5.2,24.47,27923.0,5.0,21.0,cbr,1500.0,-------,26.0,1072.0,9108.0,13662000.0,client-5,switch1,27.038857,27.039337,27.049457,0.00048,1016.522962,1524780.0,1500.0,0.130291,0.098759,27.038857,27.137616,1.0,9.959955,UDP-Flood
35,8.0,24.8,24310.0,23.0,24.0,tcp,1540.0,-------,9.0,756.0,16088.0,24775500.0,Router,server1,3.519581,3.519581,3.529704,0.0,328.11323,505294.0,1540.0,0.236278,0.0,3.499334,3.529704,1.0,50.031854,Normal
36,24.11,11.0,252941.0,24.0,23.0,ack,55.0,-------,12.0,7883.0,16103.0,885665.0,server1,Router,25.022235,25.022235,25.032238,0.0,328.522947,18068.8,55.0,0.008446,0.0,25.022235,25.052245,1.030019,50.046382,Normal
